"Date","Flight ID","Model","ICAO Model","Tail Number","Aircraft ID","Category/Class","Approaches","Hold","Landings","FS Night Landings","FS Day Landings","X-Country","Night","IMC","Simulated Instrument","Ground Simulator","Dual Received","CFI","SIC","PIC","Total Flight Time","CFI Time (HH:MM)","SIC Time (HH:MM)","PIC (HH:MM)","Total Flight Time (HH:MM)","Route","Flight Properties","Comments","Hobbs Start","Hobbs End","Engine Start","Engine End","Engine Time","Flight Start","Flight End","Flying Time","Complex","Constant-speed prop","Flaps","Retract","Tailwheel","High Performance","Turbine","Signature State","Date of Signature","CFI Comment","CFI Certificate","CFI Name","CFI Expiration","Public","Solo Time","Landings - Night, towered Airport","Checkride - Instrument","Instructor Name","Checkride - Commercial"
"2018-09-26","6422059","PA28-161, Piper  Warrior","P28A","N2172D","87226","ASEL","0","","0","0","0","","","","","","2.0","0.00","0.00","2.00","2.00","","","2:00","2:00","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-09-25","6422058","PA28-181, Piper  Archer II","P28A","N38657","199395","ASEL","0","","0","0","0","","","","","","1.6","0.00","0.00","1.60","1.60","","","1:36","1:36","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-08-12","6422057","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.20","1.20","","","1:12","1:12","","Solo Time: 1.2","","7189.60","7190.50","","","","","","","","","Yes","","","","","","","","","","","","1.20","","","",""
"2018-06-09","6422056","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.6","","","","","","0.00","0.00","1.60","1.60","","","1:36","1:36","","","","7159.20","7160.50","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-06-08","6422055","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","0.90","0.90","","","0:54","0:54","","","","7158.60","7159.20","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-05-11","6422054","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.60","1.60","","","1:36","1:36","","Solo Time: 0.5","","7143.90","7145.20","","","","","","","","","Yes","","","","","","","","","","","","0.50","","","",""
"2018-03-17","6422053","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","0.90","0.90","","","0:54","0:54","","Solo Time: 0.9","","7121.50","7122.00","","","","","","","","","Yes","","","","","","","","","","","","0.90","","","",""
"2018-02-22","6422052","PA28R-201, Piper  Arrow III","P28R","N719JH","163431","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.10","1.10","","","1:06","1:06","","Solo Time: 1.1","","0.00","0.00","","","","","","","Yes","Yes","Yes","Yes","","","","","","","","","","","1.10","","","",""
"2018-02-20","6422051","PA28R-201, Piper  Arrow III","P28R","N2927Q","5904","ASEL","0","","0","0","0","","","","","","1.6","0.00","0.00","1.60","1.60","","","1:36","1:36","","","","0.00","0.00","","","","","","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",""
"2018-02-18","6422050","PA28-161, Piper  Warrior","P28A","N8445S","166","ASEL","0","","4","3","1","7.3","4.1","","","","","0.00","0.00","7.30","7.30","","","7:18","7:18","","Solo Time: 7.3","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","7.30","","","",""
"2018-02-18","6422049","PA28R-201, Piper  Arrow III","P28R","N2927Q","5904","ASEL","0","","0","0","0","","","","","","1.2","0.00","0.00","1.20","1.20","","","1:12","1:12","","","","0.00","0.00","","","","","","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",""
"2018-02-15","6422048","PA28R-201, Piper  Arrow III","P28R","N719JH","163431","ASEL","0","","0","0","0","","","","","","1.7","0.00","0.00","1.70","1.70","","","1:42","1:42","","","","0.00","0.00","","","","","","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",""
"2018-02-14","6422047","C-172 R, Cessna  Skyhawk","C172","N2621Z","58822","ASEL","0","","10","10","0","","2.3","","","","","0.00","0.00","2.30","2.30","","","2:18","2:18","","Solo Time: 2.3","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","2.30","","","",""
"2018-02-14","6422046","PA28R-201, Piper  Arrow III","P28R","N2927Q","5904","ASEL","0","","0","0","0","","","","","","1.4","0.00","0.00","1.40","1.40","","","1:24","1:24","","","","0.00","0.00","","","","","","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",""
"2018-02-13","6422045","PA28R-201, Piper  Arrow III","P28R","N2927Q","5904","ASEL","0","","0","0","0","","","","","","1.3","0.00","0.00","1.30","1.30","","","1:18","1:18","","","","0.00","0.00","","","","","","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",""
"2018-02-12","6422044","PA28R-201, Piper  Arrow III","P28R","N2927Q","5904","ASEL","0","","0","0","0","","","","","","1.5","0.00","0.00","1.50","1.50","","","1:30","1:30","","","","0.00","0.00","","","","","","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","",""
"2017-12-10","6422043","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","0.4","","","","","0.00","0.00","0.80","0.80","","","0:48","0:48","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-12-01","6422042","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","5.8","","","","","","0.00","0.00","5.80","5.80","","","5:48","5:48","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-11-11","6422041","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","0.80","0.80","","","0:48","0:48","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-16","6422040","C-172 N, Cessna  Skyhawk/100","C172","N5157K","29016","ASEL","3","","0","0","0","","","0.5","1.3","","","0.00","0.00","1.80","1.80","","","1:48","1:48","","Instrument Checkride","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","Yes","",""
"2017-10-15","6422039","AATD, Redbird","","SIMAATDR1","66944","ASEL","2","","0","0","0","","","","1.1","","1.1","0.00","0.00","1.10","1.10","","","1:06","1:06","","","","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-15","6422038","C-172 N, Cessna  Skyhawk/100","C172","N5157K","29016","ASEL","3","","0","0","0","","0.4","","1.5","","1.8","0.00","0.00","1.30","1.80","","","1:18","1:48","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-11","6422037","C-172 R, Cessna  Skyhawk","C172","N2621Z","58822","ASEL","3","","0","0","0","","","1.5","","","1.8","0.00","0.00","0.30","1.80","","","0:18","1:48","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-10","6422036","C-172 Q, Cessna  Skyhawk","C172","N911AT","11367","ASEL","4","","0","0","0","4.1","0.7","0.2","3.6","","4.1","0.00","0.00","3.90","4.10","","","3:54","4:06","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-08","6422035","C-172 R, Cessna  Skyhawk","C172","N2621Z","58822","ASEL","3","","0","0","0","","","","1.0","","1.3","0.00","0.00","1.30","1.30","","","1:18","1:18","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-07","6422034","C-172 Q, Cessna  Skyhawk","C172","N911AT","11367","ASEL","3","","0","0","0","","","","1.4","","1.7","0.00","0.00","1.70","1.70","","","1:42","1:42","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-07","6422033","C-172 N, Cessna  Skyhawk/100","C172","N5157K","29016","ASEL","2","","0","0","0","2.5","","0.3","1.9","","2.5","0.00","0.00","2.20","2.50","","","2:12","2:30","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-06","6422032","C-172 Q, Cessna  Skyhawk","C172","N911AT","11367","ASEL","3","","0","0","0","2.6","","","2.3","","2.6","0.00","0.00","2.60","2.60","","","2:36","2:36","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-05","6422031","C-172 R, Cessna  Skyhawk","C172","N2621Z","58822","ASEL","2","","0","0","0","2.0","0.3","0.4","1.4","","2.0","0.00","0.00","1.60","2.00","","","1:36","2:00","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-04","6422030","PA28-180, Piper  Archer","P28A","N8948C","173023","ASEL","2","","0","0","0","3.8","","","1.6","","","0.00","0.00","3.80","3.80","","","3:48","3:48","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-03","6422029","PA28-181, Piper  Archer II","P28A","N21803","47920","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.40","1.40","","","1:24","1:24","","Solo Time: 1.4","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","1.40","","","",""
"2017-10-03","6422028","PA28-181, Piper  Archer II","P28A","N21803","47920","ASEL","2","","0","0","0","","","","1.6","","1.9","0.00","0.00","1.90","1.90","","","1:54","1:54","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-03","6422027","C-172 Q, Cessna  Skyhawk","C172","N911AT","11367","ASEL","2","","0","0","0","","1.2","","1.0","","1.2","0.00","0.00","1.20","1.20","","","1:12","1:12","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-02","6422026","PA28-161, Piper  Warrior","P28A","N2172D","87226","ASEL","3","","0","0","0","1.9","","","1.6","","","0.00","0.00","1.90","1.90","","","1:54","1:54","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-10-01","6422025","PA28-161, Piper  Warrior","P28A","N2172D","87226","ASEL","3","","0","0","0","","","","1.2","","1.5","0.00","0.00","1.50","1.50","","","1:30","1:30","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-29","6422024","C-172 Q, Cessna  Skyhawk","C172","N911AT","11367","ASEL","2","","0","0","0","","","","1.0","","1.2","0.00","0.00","1.20","1.20","","","1:12","1:12","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-28","6422023","C-172 N, Cessna  Skyhawk/100","C172","N5157K","29016","ASEL","3","","0","0","0","","1.3","","1.0","","1.3","0.00","0.00","1.30","1.30","","","1:18","1:18","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-27","6422022","PA28-161, Piper  Cadet","P28A","N80FT","12769","ASEL","3","","0","0","0","","","","1.1","","1.4","0.00","0.00","1.40","1.40","","","1:24","1:24","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-25","6422021","PA28-161, Piper  Warrior","P28A","N2172D","87226","ASEL","2","","0","0","0","","","","1.0","","1.3","0.00","0.00","1.30","1.30","","","1:18","1:18","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-24","6422020","PA28-161, Piper  Warrior","P28A","N2172D","87226","ASEL","2","","0","0","0","","","","1.3","","1.6","0.00","0.00","1.60","1.60","","","1:36","1:36","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-23","6422019","PA28-181, Piper  Archer II","P28A","N21803","47920","ASEL","2","","0","0","0","","","","1.1","","1.4","0.00","0.00","1.40","1.40","","","1:24","1:24","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-23","6422018","C-172 R, Cessna  Skyhawk","C172","N2621Z","58822","ASEL","2","","0","0","0","3.5","3.5","","3.2","","","0.00","0.00","3.50","3.50","","","3:30","3:30","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-22","6422017","C-172 P, Cessna  Skyhawk","C172","N34HD","40855","ASEL","0","","0","0","0","1.7","1.7","","1.4","","","0.00","0.00","1.70","1.70","","","1:42","1:42","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-22","6422016","C-172 P, Cessna  Skyhawk","C172","N34HD","40855","ASEL","0","","0","0","0","1.9","","","","","","0.00","0.00","1.90","1.90","","","1:54","1:54","","2 Night Landing(s) at a Towered Airport","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","2","","",""
"2017-09-22","6422015","PA28-161, Piper  Warrior","P28A","N8445S","166","ASEL","2","","0","0","0","","","","1.0","","1.3","0.00","0.00","1.30","1.30","","","1:18","1:18","","2 Night Landing(s) at a Towered Airport","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","2","","",""
"2017-09-21","6422014","PA28-161, Piper  Warrior","P28A","N8445S","166","ASEL","2","","0","0","0","","","","1.0","","1.3","0.00","0.00","1.30","1.30","","","1:18","1:18","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-20","6422013","PA28-161, Piper  Warrior","P28A","N8445S","166","ASEL","2","","0","0","0","","","","1.2","","1.4","0.00","0.00","1.40","1.40","","","1:24","1:24","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-19","6422012","PA28-161, Piper  Warrior","P28A","N8445S","166","ASEL","0","","0","0","0","","","","1.0","","1.3","0.00","0.00","1.30","1.30","","","1:18","1:18","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-09-17","6422011","C-172 N, Cessna  Skyhawk/100","C172","N5157K","29016","ASEL","0","","0","0","0","","1.2","","0.9","","1.2","0.00","0.00","1.20","1.20","","","1:12","1:12","","Solo Time: 0.4","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","0.40","","","",""
"2017-09-15","6422010","C-172 N, Cessna  Skyhawk/100","C172","N5157K","29016","ASEL","0","","0","0","0","","0.6","","0.3","","0.6","0.00","0.00","0.60","0.60","","","0:36","0:36","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-08-30","6422009","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","0.80","0.80","","","0:48","0:48","","Solo Time: 0.8","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","0.80","","","",""
"2017-06-02","6422008","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.5","","","","","","0.00","0.00","1.50","1.50","","","1:30","1:30","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-05-19","6422007","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.30","1.30","","","1:18","1:18","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-02-10","6422006","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.6","","","","","","0.00","0.00","1.60","1.60","","","1:36","1:36","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2017-01-05","6422005","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.4","","","","","","0.00","0.00","1.40","1.40","","","1:24","1:24","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2016-12-30","6422004","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.00","1.00","","","1:00","1:00","","Solo Time: 1.0","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","1.00","","","",""
"2016-10-29","6422003","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.40","1.40","","","1:24","1:24","","Solo Time: 1.4","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","1.40","","","",""
"2016-10-18","6422002","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","0.6","","","","","","0.00","0.00","0.60","0.60","","","0:36","0:36","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2016-10-18","6422001","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","0.7","","","","","","0.00","0.00","0.70","0.70","","","0:42","0:42","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2016-07-28","6422000","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.1","","","","","","0.00","0.00","1.10","1.10","","","1:06","1:06","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2016-07-08","6421999","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.1","","","","","","0.00","0.00","1.10","1.10","","","1:06","1:06","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2016-06-03","6421998","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","2.1","","","","","","0.00","0.00","2.10","2.10","","","2:06","2:06","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2016-05-27","6421997","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","0.9","","","","","","0.00","0.00","0.90","0.90","","","0:54","0:54","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2016-05-07","6421996","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","2.6","","","","","","0.00","0.00","2.60","2.60","","","2:36","2:36","","Solo Time: 2.6","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","2.60","","","",""
"2016-05-05","6421995","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","2.7","","","","","","0.00","0.00","2.70","2.70","","","2:42","2:42","","Solo Time: 2.7","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","2.70","","","",""
"2016-04-01","6421994","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.2","","","","","","0.00","0.00","1.20","1.20","","","1:12","1:12","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2016-03-11","6421993","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.20","1.20","","","1:12","1:12","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2016-02-09","6421992","PA28-161, Piper  Warrior III","P28A","N444ND","563","ASEL","0","","0","0","0","1.7","1.1","","","","2.1","0.00","0.00","2.10","2.10","","","2:06","2:06","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2016-02-04","6421991","8KCAB (CSP), American Champion/Bellanca  Super Decathlon","BL8","N5030P","48783","ASEL","0","","0","0","0","","","","","","0.5","0.00","0.00","0.00","0.50","","","","0:30","","","","0.00","0.00","","","","","","","","Yes","","","Yes","","","","","","","","","","","","","",""
"2016-02-04","6421990","8KCAB (CSP), American Champion/Bellanca  Super Decathlon","BL8","N5030P","48783","ASEL","0","","0","0","0","","","","","","0.5","0.00","0.00","0.00","0.50","","","","0:30","","","","0.00","0.00","","","","","","","","Yes","","","Yes","","","","","","","","","","","","","",""
"2015-12-22","6421989","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","0.80","0.80","","","0:48","0:48","","Solo Time: 0.8","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","0.80","","","",""
"2015-07-17","6421988","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.4","","","","","","0.00","0.00","1.40","1.40","","","1:24","1:24","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2015-06-28","6421987","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","0.90","0.90","","","0:54","0:54","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2015-05-15","6421986","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.10","1.10","","","1:06","1:06","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2014-12-05","6421985","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","0.70","0.70","","","0:42","0:42","","Solo Time: 0.7","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","0.70","","","",""
"2014-09-02","6421984","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.5","","","","","","0.00","0.00","1.50","1.50","","","1:30","1:30","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2014-08-12","6421983","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.4","","","","","","0.00","0.00","1.40","1.40","","","1:24","1:24","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
